1;Ruidos extraños;1;2;3;4;5;;
2;Vibraciones;1;2;3;4;5;;
3;Presencia de goteras;1;2;3;4;5;;
4;Temperatura del motor;1;2;3;4;5;;
5;Elevada altura de succión;1;2;3;4;5;;
6;Bajo voltaje;1;2;3;4;5;;
7;Desgaste de rodamientos y cojinetes;1;2;3;4;5;;
8;Fuente de energía;Monofasica;Trifasica;Solar;Diesel;Generador;Mixto;
9;¿Revisa el voltaje y amperaje regularmente?;Si;No;;;;;
10;HP (Caballos de fuerza);Texto libre;;;;;;
11;Frecuencia de mantención;Semestral;Anual;Bianual;> a 2 años;Nuevo;;
12;Tipo de filtro;Malla;Anillas;Grava;No posee;;;
13;Cantidad de manómetros;Texto libre;;;;;;
14;Ubicación;Antes;Después;Ambas;Na;;;
15;Estado de los manómetros;1;2;3;4;5;;
16;Calidad de agua;1;2;3;4;5;;
17;Detalle calidad;Algas;Turbiedad;Salinidad;Metales;Coliformes;Buena Calidad;
18;Frecuencia de mantención;Cada Riego;Cada 2 Riegos;Semanal;Mensual;Semestral;> a 1 año;Nunca
19;Tipo de inyección;Venturi;Bomba de Inyección ppal;Bomba Auxiliar;No tiene;;;
20;Realiza lavado de tuberías;Si ;No;Na;;;;
21;Acumulación de compuestos poco solubles en el fondo de estanque;1;2;3;4;5;Na;
22;Limpieza de estanque de preparación;Si;No;Na;;;;
23;Momento de fertilización;Principio;Medio;Ultimo Tercio;No fertiliza;;;
24;Nivel de algas de estanque;1;2;3;4;5;;
25;Calidad de agua;1;2;3;4;5;;
26;Turbiedad de agua;1;2;3;4;5;;
27;Salinidad de agua;1;2;3;4;5;Lo desconozco;
28;¿Realiza análisis de agua?;Si;No;;;;;
29;¿Realiza análisis de suelo?;Si;No;;;;;
30;Si la pregunta 28 es sí, anotar frecuencia;Texto libre;;;;;;
31;Si la pregunta 29 es sí, anotar frecuencia;Texto libre;;;;;;
32;Acumulador;Si;No;;;;;
33;Capacidad acumulador (m^3);Texto libre;;;;;;
34;Cubierta;Si;No;;;;;
35;Revestimiento;Si;No;;;;;
36;Especie;Texto libre;;;;;;
37;Tipo de suelo;Texto libre;;;;;;
38;Tipo de régimen;Tradicional;Orgánico;AgroEcologíco;;;;
39;Superficie de explotación (ha);Texto libre;;;;;;
40;Fuente de suministro de agua;Texto libre;;;;;;
41;Tipo de emisor;Gotero;Aspersor;Microjet;Gravitacional;Gotero subterraneo;Botón;
42;Método de fertilización;Manual;Fertirriego;No fertiliza;Enmiendas Organicas;;;
43;Grado de automatización;1;2;3;4;5;;
44;Fuente de ingresos;Primario;Secundario;;;;;
45;Mercado a donde van dirigidos los productos;Ferial;Local;Exportación;Agroindustria;Autoconsumo;;
46;Taponamiento emisores;1;2;3;4;5;;
47;Limpieza laterales;Acido;Cloro;Descole;No realiza;Manual;Na;
